Experiment ID                :  onemax
Problem Type                 :  PD
Data Input File Name         :  NA
Number of Runs               :  50
Generations per Run          :  200
Population Size              :  500
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  1
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  1
Size of Genes                :  8


 R   1	 G 125	      4	       4.39	      0.232	
 R   1	 G 126	      5	      4.409	       0.23	
 R   1	 G 127	      4	      4.402	      0.239	
 R   1	 G 128	      5	      4.413	      0.233	
 R   1	 G 129	      4	        4.4	      0.227	
 R   1	 G 130	      4	      4.393	      0.235	
 R   1	 G 131	      4	      4.372	       0.23	
 R   1	 G 132	      4	       4.39	      0.221	
 R   1	 G 133	      5	      4.393	      0.225	
 R   1	 G 134	      5	      4.404	      0.229	
 R   1	 G 135	      4	      4.392	      0.229	
 R   1	 G 136	      4	      4.391	      0.214	
 R   1	 G 137	      4	      4.389	      0.216	
 R   1	 G 138	      4	      4.415	      0.221	
 R   1	 G 139	      4	      4.411	      0.222	
 R   1	 G 140	      5	       4.39	      0.245	
 R   1	 G 141	      4	      4.408	      0.226	
 R   1	 G 142	      4	        4.4	      0.226	
 R   1	 G 143	      4	      4.402	      0.217	
 R   1	 G 144	      4	        4.4	      0.219	
 R   1	 G 145	      4	       4.41	      0.221	
 R   1	 G 146	      4	      4.373	      0.221	
 R   1	 G 147	      5	      4.431	       0.22	
 R   1	 G 148	      4	      4.395	      0.231	
 R   1	 G 149	      5	      4.399	      0.224	
 R   1	 G 150	      4	       4.41	      0.226	
 R   1	 G 151	      4	      4.393	      0.213	
 R   1	 G 152	      4	      4.402	       0.22	
 R   1	 G 153	      4	      4.416	      0.208	
 R   1	 G 154	      4	      4.397	       0.23	
 R   1	 G 155	      4	      4.393	      0.235	
 R   1	 G 156	      4	      4.398	       0.23	
 R   1	 G 157	      4	      4.385	      0.227	
 R   1	 G 158	      4	      4.414	      0.222	
 R   1	 G 159	      4	      4.405	      0.223	
 R   1	 G 160	      5	      4.411	      0.231	
 R   1	 G 161	      4	      4.399	      0.225	
 R   1	 G 162	      4	      4.405	      0.224	
 R   1	 G 163	      4	      4.392	      0.234	
 R   1	 G 164	      5	      4.422	      0.228	
 R   1	 G 165	      4	      4.411	      0.233	
 R   1	 G 166	      4	      4.396	      0.221	
 R   1	 G 167	      4	      4.391	      0.245	
 R   1	 G 168	      4	       4.41	      0.226	
 R   1	 G 169	      4	      4.407	      0.211	
 R   1	 G 170	      4	      4.389	      0.244	
 R   1	 G 171	      4	        4.4	      0.231	
 R   1	 G 172	      5	      4.409	      0.223	
 R   1	 G 173	      5	      4.402	      0.245	
 R   1	 G 174	      4	      4.404	      0.215	
 R   1	 G 175	      4	      4.418	      0.209	
 R   1	 G 176	      4	      4.384	      0.229	
 R   1	 G 177	      4	      4.392	      0.238	
 R   1	 G 178	      4	      4.398	      0.223	
 R   1	 G 179	      4	      4.403	      0.221	
 R   1	 G 180	      5	      4.388	      0.228	
 R   1	 G 181	      4	      4.426	      0.232	
 R   1	 G 182	      5	      4.412	      0.213	
 R   1	 G 183	      4	      4.397	      0.226	
 R   1	 G 184	      5	      4.408	      0.224	
 R   1	 G 185	      4	      4.403	      0.226	
 R   1	 G 186	      4	      4.412	      0.228	
 R   1	 G 187	      4	      4.401	      0.227	
 R   1	 G 188	      4	      4.413	      0.227	
 R   1	 G 189	      5	      4.416	       0.23	
 R   1	 G 190	      4	      4.412	      0.224	
 R   1	 G 191	      4	      4.397	      0.228	
 R   1	 G 192	      4	      4.404	      0.225	
 R   1	 G 193	      4	      4.405	      0.231	
 R   1	 G 194	      5	      4.392	      0.228	
 R   1	 G 195	      5	      4.408	       0.23	
 R   1	 G 196	      4	      4.382	      0.247	
 R   1	 G 197	      4	      4.396	      0.229	
 R   1	 G 198	      4	      4.408	      0.225	
 R   1	 G 199	      4	      4.402	      0.227	
1   	  21
First move: 1 
Percent chance: 0.2606296719639908 2.849066613248785E-4 0.25250801643251675 0.26747258824098186 7.19546945879479E-5 0.009509657632638446 0.20629428624711468 0.0032289181268445755 
   RawFitness:          5.12

 R   2	 G   0	      4	        4.2	      0.296	
 R   2	 G   1	      4	      4.251	      0.275	
 R   2	 G   2	      4	      4.297	      0.256	
 R   2	 G   3	      5	       4.33	       0.27	
 R   2	 G   4	      4	      4.331	      0.252	
 R   2	 G   5	      4	      4.354	      0.267	
 R   2	 G   6	      4	      4.367	      0.249	
 R   2	 G   7	      5	      4.363	      0.238	
 R   2	 G   8	      4	      4.359	      0.248	
 R   2	 G   9	      4	      4.371	      0.242	
 R   2	 G  10	      4	      4.368	      0.234	
 R   2	 G  11	      5	       4.38	      0.239	
 R   2	 G  12	      4	      4.373	      0.243	
 R   2	 G  13	      4	      4.382	      0.239	
 R   2	 G  14	      4	      4.387	      0.237	
 R   2	 G  15	      4	      4.366	      0.257	
 R   2	 G  16	      4	      4.383	      0.232	
 R   2	 G  17	      5	      4.402	       0.22	
 R   2	 G  18	      4	      4.378	      0.232	
 R   2	 G  19	      4	       4.39	      0.234	
 R   2	 G  20	      5	      4.377	      0.248	
 R   2	 G  21	      4	      4.382	      0.237	
